client_0: both | train=253 | test=30
client_1: both | train=32 | test=30
client_2: both | train=58 | test=30
client_3: both | train=81 | test=30
client_4: both | train=172 | test=30
client_5: both | train=59 | test=30
client_6: both | train=71 | test=30
client_7: both | train=94 | test=30
client_8: both | train=108 | test=30
client_9: both | train=29 | test=30
client_10: both | train=63 | test=30
client_11: both | train=67 | test=30
client_12: both | train=33 | test=30
client_13: both | train=151 | test=30
client_14: both | train=84 | test=30
client_15: both | train=9 | test=30
client_16: both | train=83 | test=30
client_17: both | train=39 | test=30
client_18: both | train=129 | test=30
client_19: both | train=124 | test=30
client_20: acc | train=52 | test=30
client_21: acc | train=53 | test=30
client_22: acc | train=23 | test=30
client_23: acc | train=53 | test=30
client_24: acc | train=11 | test=30
client_25: acc | train=33 | test=30
client_26: acc | train=62 | test=30
client_27: acc | train=108 | test=30
client_28: acc | train=97 | test=30
client_29: acc | train=131 | test=30
client_30: acc | train=48 | test=30
client_31: acc | train=62 | test=30
client_32: acc | train=56 | test=30
client_33: acc | train=191 | test=30
client_34: acc | train=105 | test=30
client_35: acc | train=50 | test=30
client_36: acc | train=36 | test=30
client_37: acc | train=81 | test=30
client_38: acc | train=56 | test=30
client_39: acc | train=50 | test=30
client_40: acc | train=104 | test=30
client_41: acc | train=71 | test=30
client_42: acc | train=75 | test=30
client_43: acc | train=37 | test=30
client_44: acc | train=50 | test=30
client_45: acc | train=49 | test=30
client_46: acc | train=64 | test=30
client_47: acc | train=27 | test=29
client_48: acc | train=228 | test=29
client_49: acc | train=36 | test=29
client_50: acc | train=89 | test=29
client_51: acc | train=181 | test=29
client_52: acc | train=57 | test=29
client_53: acc | train=20 | test=29
client_54: acc | train=75 | test=29
client_55: acc | train=76 | test=29
client_56: acc | train=34 | test=29
client_57: acc | train=15 | test=29
client_58: acc | train=34 | test=29
client_59: acc | train=96 | test=29
client_60: acc | train=27 | test=29
client_61: acc | train=234 | test=29
client_62: acc | train=111 | test=29
client_63: acc | train=102 | test=29
client_64: acc | train=50 | test=29
client_65: acc | train=28 | test=29
client_66: acc | train=51 | test=29
client_67: acc | train=101 | test=29
client_68: acc | train=133 | test=29
client_69: acc | train=100 | test=29
client_70: gyro | train=83 | test=29
client_71: gyro | train=42 | test=29
client_72: gyro | train=53 | test=29
client_73: gyro | train=52 | test=29
client_74: gyro | train=7 | test=29
client_75: gyro | train=16 | test=29
client_76: gyro | train=104 | test=29
client_77: gyro | train=77 | test=29
client_78: gyro | train=42 | test=29
client_79: gyro | train=103 | test=29
client_80: gyro | train=33 | test=29
client_81: gyro | train=70 | test=29
client_82: gyro | train=71 | test=29
client_83: gyro | train=64 | test=29
client_84: gyro | train=65 | test=29
client_85: gyro | train=93 | test=29
client_86: gyro | train=78 | test=29
client_87: gyro | train=130 | test=29
client_88: gyro | train=42 | test=29
client_89: gyro | train=8 | test=29
client_90: gyro | train=85 | test=29
client_91: gyro | train=93 | test=29
client_92: gyro | train=67 | test=29
client_93: gyro | train=16 | test=29
client_94: gyro | train=56 | test=29
client_95: gyro | train=25 | test=29
client_96: gyro | train=96 | test=29
client_97: gyro | train=64 | test=29
client_98: gyro | train=83 | test=29
client_99: gyro | train=82 | test=29
